Date,Open,High,Low,Close,Adj Close,Volume
14/10/2010,10.89,10.89,10.89,10.89,8.153502,0
15/10/2010,10.86,10.86,10.86,10.86,8.131041,0
18/10/2010,10.89,10.89,10.89,10.89,8.153502,0
19/10/2010,10.91,10.91,10.91,10.91,8.168481,0
20/10/2010,10.91,10.91,10.91,10.91,8.168481,0
21/10/2010,10.89,10.89,10.89,10.89,8.153502,0
22/10/2010,10.89,10.89,10.89,10.89,8.153502,0
25/10/2010,10.89,10.89,10.89,10.89,8.153502,0
26/10/2010,10.86,10.86,10.86,10.86,8.131041,0
27/10/2010,10.84,10.84,10.84,10.84,8.11607,0
28/10/2010,10.86,10.86,10.86,10.86,8.131041,0
29/10/2010,10.89,10.89,10.89,10.89,8.17609,0
01/11/2010,10.89,10.89,10.89,10.89,8.17609,0
02/11/2010,10.91,10.91,10.91,10.91,8.191106,0
03/11/2010,10.91,10.91,10.91,10.91,8.191106,0
04/11/2010,10.94,10.94,10.94,10.94,8.213632,0
05/11/2010,10.91,10.91,10.91,10.91,8.191106,0
08/11/2010,10.9,10.9,10.9,10.9,8.183597,0
09/11/2010,10.84,10.84,10.84,10.84,8.138551,0
10/11/2010,10.85,10.85,10.85,10.85,8.146057,0
11/11/2010,10.85,10.85,10.85,10.85,8.146057,0
12/11/2010,10.81,10.81,10.81,10.81,8.116024,0
15/11/2010,10.75,10.75,10.75,10.75,8.070981,0
16/11/2010,10.78,10.78,10.78,10.78,8.093506,0
17/11/2010,10.78,10.78,10.78,10.78,8.093506,0
18/11/2010,10.77,10.77,10.77,10.77,8.085996,0
19/11/2010,10.78,10.78,10.78,10.78,8.093506,0
22/11/2010,10.81,10.81,10.81,10.81,8.116024,0
23/11/2010,10.82,10.82,10.82,10.82,8.123533,0
24/11/2010,10.76,10.76,10.76,10.76,8.07849,0
26/11/2010,10.78,10.78,10.78,10.78,8.093506,0
29/11/2010,10.79,10.79,10.79,10.79,8.101011,0
30/11/2010,10.8,10.8,10.8,10.8,8.13037,0
01/12/2010,10.72,10.72,10.72,10.72,8.070141,0
02/12/2010,10.71,10.71,10.71,10.71,8.062621,0
03/12/2010,10.72,10.72,10.72,10.72,8.070141,0
06/12/2010,10.76,10.76,10.76,10.76,8.100262,0
07/12/2010,10.68,10.68,10.68,10.68,8.040032,0
08/12/2010,10.63,10.63,10.63,10.63,8.002395,0
09/12/2010,10.63,10.63,10.63,10.63,8.002395,0
10/12/2010,10.6,10.6,10.6,10.6,7.979813,0
13/12/2010,10.62,10.62,10.62,10.62,7.994868,0
14/12/2010,10.57,10.57,10.57,10.57,7.957226,0
15/12/2010,10.54,10.54,10.54,10.54,7.934639,0
16/12/2010,10.56,10.56,10.56,10.56,7.9497,0
17/12/2010,10.61,10.61,10.61,10.61,7.987342,0
20/12/2010,10.61,10.61,10.61,10.61,7.987342,0
21/12/2010,10.63,10.63,10.63,10.63,8.002395,0
22/12/2010,10.61,10.61,10.61,10.61,7.987342,0
23/12/2010,10.55,10.55,10.55,10.55,7.977505,0
27/12/2010,10.56,10.56,10.56,10.56,7.985072,0
28/12/2010,10.5,10.5,10.5,10.5,7.939698,0
29/12/2010,10.57,10.57,10.57,10.57,7.992631,0
30/12/2010,10.56,10.56,10.56,10.56,7.985072,0
31/12/2010,10.6,10.6,10.6,10.6,8.038151,0
03/01/2011,10.58,10.58,10.58,10.58,8.022979,0
04/01/2011,10.59,10.59,10.59,10.59,8.030565,0
05/01/2011,10.53,10.53,10.53,10.53,7.98507,0
06/01/2011,10.55,10.55,10.55,10.55,8.000237,0
07/01/2011,10.59,10.59,10.59,10.59,8.030565,0
10/01/2011,10.6,10.6,10.6,10.6,8.038151,0
11/01/2011,10.58,10.58,10.58,10.58,8.022979,0
12/01/2011,10.57,10.57,10.57,10.57,8.015398,0
13/01/2011,10.6,10.6,10.6,10.6,8.038151,0
14/01/2011,10.59,10.59,10.59,10.59,8.030565,0
18/01/2011,10.58,10.58,10.58,10.58,8.022979,0
19/01/2011,10.59,10.59,10.59,10.59,8.030565,0
20/01/2011,10.55,10.55,10.55,10.55,8.000237,0
21/01/2011,10.56,10.56,10.56,10.56,8.00782,0
24/01/2011,10.56,10.56,10.56,10.56,8.00782,0
25/01/2011,10.59,10.59,10.59,10.59,8.030565,0
26/01/2011,10.56,10.56,10.56,10.56,8.00782,0
27/01/2011,10.58,10.58,10.58,10.58,8.022979,0
